fund_id,reporting_date,nav_eur_m,yield_pct,net_debt_ebitda,interest_coverage,default_rate_pct
F001,30.09.2025,"97,4",7.1,4.0,2.5,0.2
F001,31.12.2025,96.5,7.0,4.0,2.4,0.0
F001,31.03.2026,97.9,7.0,3.9,2.4,0.7
F001,30.06.2026,98.4,7.1,4.0,2.4,0.0
F002,30.09.2025,147.6,7.5,3.7,2.6,0.4
F002,31.12.2025,150.5,7.5,3.7,,0.5
F002,31.03.2026,153.2,7.5,3.8,2.5,0.0
F002,30.06.2026,154.6,7.4,3.7,2.4,0.0
F003,30.09.2025,76.0,9.6,4.2,2.8,0.0
F003,31.12.2025,75.2,9.8,4.6,2.4,0.0
F003,31.03.2026,73.5,10.1,5.1,1.9,1.5
F003,30.06.2026,71.8,10.4,5.4,1.6,2.5
F004,30.09.2025,57.2,11.7,4.0,2.7,0.0
F004,31.12.2025,58.1,11.6,4.0,2.8,0.5
F004,31.03.2026,58.9,0.118,4.1,2.9,0.0
F004,30.06.2026,59.2,11.6,4.0,2.8,0.9
